trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
93,False,"{'a': 0.5, 'e': 0.3945537103716011}",20,0,-25.891120348915805,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
94,False,"{'a': 0.5, 'e': 0.3906278353585211}",20,7,-18.39963912674084,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.3867410234545012}",20,6,-33.26898968395841,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
96,False,"{'a': 0.5, 'e': 0.38289288597511206}",30,15,-64.75120689130543,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 1}",1
97,False,"{'a': 0.5, 'e': 0.37908303810339883}",20,12,1.1518280959202272,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.37531109885139957}",20,0,11.955059646054771,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
99,False,"{'a': 0.5, 'e': 0.3715766910220457}",30,15,21.90024774180778,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.36787944117144233}",20,0,-66.18528342546901,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
101,False,"{'a': 0.5, 'e': 0.3642189795715233}",20,0,-0.04139896145591038,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
102,False,"{'a': 0.5, 'e': 0.3605949401730783}",20,0,-0.07956007329566317,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
103,False,"{'a': 0.5, 'e': 0.3570069605691474}",25,16,-9.273427916425247,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.35345468195878016}",20,2,11.401751007267121,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.3499377491111553}",30,19,-21.230617454118274,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
106,False,"{'a': 0.5, 'e': 0.3464558103300574}",20,1,-44.79967281440494,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 1}",1
107,False,"{'a': 0.5, 'e': 0.34300851741870664}",30,0,-68.29625826798929,"{0: 25, 1: 2, 2: 1, 3: 0, 4: 2}",0
108,False,"{'a': 0.5, 'e': 0.3395955256449391}",20,11,-11.873552490136543,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.3362164937067333}",30,10,25.45252979339819,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.33287108369807955}",25,12,17.99123202397245,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.32955896107518906}",20,3,-3.8448766448825453,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.32627979462303947}",25,14,0.8366887295189211,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.3230332564222529}",30,4,-8.688456614572381,"{0: 20, 1: 3, 2: 3, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.31981902181630384}",30,15,-23.724353205021576,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
115,False,"{'a': 0.5, 'e': 0.31663676937905316}",20,12,3.7669786205309315,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.3134861808826053}",25,7,-3.63548619419926,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.31036694126548503}",30,0,-36.17010990344824,"{0: 27, 1: 0, 2: 1, 3: 1, 4: 1}",0
118,False,"{'a': 0.5, 'e': 0.30727873860113125}",25,14,7.170686830047012,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.3042212640667041}",25,11,16.582458303770608,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
